frame |NNN|EEEEE S|TNE TTTT VV|TNE TTTT VV|TNE TTTT VV|
00321 |...|..... .|... .... ..|... .... ..|... -013 ..|
00322 |...|..... .|... .... -1|... .... ..|... +034 ..|
00323 |...|..... .|... .... ..|... .... ..|... -021 -1|
00324 |...|..... .|... -001 ..|... .... ..|... -013 ..|
00325 |...|..... .|... -03A +8|tNe -891 +7|.N. +0D0 +5|
00326 |...|..... .|... -011 ..|TnE .... -7|.n. -040 ..|
00327 |...|..... .|... +046 -1|... .... ..|... -028 -1|
00328 |...|..... .|... .... -1|... .... ..|... +068 ..|
00329 |...|..... .|... .... ..|... .... ..|... -040 ..|
00330 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00331 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00332 |...|..... .|... .... ..|... .... ..|... -040 ..|
00333 |...|..... .|... .... ..|... .... ..|... -028 -1|
00334 |...|..... .|... .... -1|... .... ..|... +068 ..|
00335 |...|..... .|... .... ..|... .... ..|... -040 ..|
00336 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00337 |+01|..... .|... -031 ..|tNe +891 +7|.N. +068 +1|
00338 |...|..... .|... -012 ..|TnE .... -7|.n. -040 ..|
00339 |...|..... .|... +04A -1|... .... ..|... -028 -1|
00340 |...|..... .|... .... ..|... .... ..|... +068 ..|
00341 |...|..... .|... .... ..|... .... ..|... -040 ..|
00342 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00343 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00344 |...|..... .|... .... ..|... .... ..|... -040 ..|
00345 |...|..... .|... .... ..|... .... ..|... -028 ..|
00346 |...|..... .|... .... -1|... .... ..|... +068 ..|
00347 |...|..... .|... .... ..|... .... ..|... -040 -1|
00348 |...|..... .|... -001 ..|... .... ..|... -028 ..|
00349 |...|..... .|... -03A +3|... .... ..|.N. +068 +3|
-------------------------------------------------------
00350 |...|..... .|... -011 ..|... .... ..|.n. -040 ..|
00351 |...|..... .|... +046 -1|... .... ..|... -028 -1|
00352 |...|..... .|... .... ..|... .... ..|... +068 ..|
00353 |...|..... .|... .... ..|... .... ..|... -040 ..|
00354 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00355 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00356 |...|..... .|... .... ..|... .... ..|... -040 ..|
00357 |...|..... .|... .... ..|... .... ..|... -028 ..|
00358 |...|..... .|... .... -1|... .... ..|... +068 ..|
00359 |...|..... .|... .... ..|... .... ..|... -040 -1|
00360 |...|..... .|... -001 ..|... .... ..|... -028 ..|
00361 |+01|..... .|... +024 +9|tNe .... +7|.N. -034 +5|
00362 |...|..... .|... -008 ..|TnE .... -7|.n. -021 ..|
00363 |...|..... .|... -008 -1|... .... ..|... -013 -1|
00364 |...|..... .|... .... -1|... .... ..|... +034 ..|
